brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
FIAT,500 Pop,2014.0,75312.0,1.4,6,1.0,Gasoline,Front-wheel Drive,4.5,0.0,0.0,1.0,0.0,0.0,2.0,Avorio (Ivory),Granite Crystal,8995
Mitsubishi,Outlander Sport 2.0 ES,2020.0,29768.0,2.0,CVT,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,4.0,Black,White,20288
Lexus,NX 350 Premium,2022.0,1799.0,2.4,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,1.0,1.0,1.0,5.0,Black,Black,49998
FIAT,500 Pop,2015.0,68149.0,1.4,6,1.0,Gasoline,Front-wheel Drive,4.5,1.0,0.0,1.0,0.0,0.0,2.0,Nero,Bianco White,8995
Nissan,Titan PRO-4X,2020.0,31480.0,5.6,9,1.0,Gasoline,Four-wheel Drive,3.0,0.0,1.0,0.0,0.0,1.0,11.0,Black,Gray,43990
Mercedes-Benz,E-Class E 300,2019.0,28699.0,2.0,9,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,0.0,1.0,1.0,9.0,Brown,Polar White,37182
Mercedes-Benz,Maybach S 650 Base,2019.0,30254.0,6.0,7,1.0,Gasoline,Rear-wheel Drive,4.5,0.0,0.0,1.0,1.0,1.0,9.0,Black,designo Diamond White,121995
Jeep,Cherokee Latitude,2017.0,55377.0,2.4,Automatic,1.0,Gasoline,Front-wheel Drive,3.5,1.0,0.0,1.0,0.0,1.0,6.0,Black,Bright White Clearcoat,19994
Nissan,Sentra S,2019.0,20466.0,1.8,CVT,1.0,Gasoline,Front-wheel Drive,2.5,0.0,1.0,1.0,0.0,0.0,5.0,Charcoal,Cloud White,17990
Volkswagen,Golf R 2.0T w/DCC & Navigation,2018.0,36286.0,2.0,7,1.0,Gasoline,Four-wheel Drive,3.0,1.0,1.0,1.0,1.0,1.0,7.0,Titan Black,Lapiz Blue Metallic,35000
