"brand","model","year","mileage","engine_size","drivetrain","avg_mpg","damaged","first_owner","extras","price"
"Toyota","4Runner SR5 Premium",2019,75255,4,"Four-wheel Drive",1.5,0,1,7,38988
"Honda","CR-V EX",2022,18700,1.5,"Four-wheel Drive",2.5,0,1,11,33395
"Porsche","911 Carrera 4 Cabriolet",1991,72967,3.6,"Four-wheel Drive",3,0,0,0,59998
"Porsche","Panamera Sport Turismo 4",2019,42302,3,"Four-wheel Drive",4,0,1,9,73999
"BMW","X3 M AWD",2021,28776,3,"Four-wheel Drive",2.5,0,1,9,58995
"Mazda","MX-5 Miata RF Grand Touring",2022,1125,2,"Rear-wheel Drive",2,0,1,7,39999
"FIAT","124 Spider Classica",2020,25489,1.4,"Rear-wheel Drive",5.5,0,1,6,24998
"Alfa","Romeo Giulia Ti",2021,19699,2,"Four-wheel Drive",3,0,1,8,35999
"Ford","Expedition Platinum",2020,56047,3.5,"Four-wheel Drive",2.5,1,1,9,53295
"Land","Rover Discovery HSE",2017,68307,3,"Four-wheel Drive",3,0,0,9,26900
"Maserati","Ghibli S Q4",2019,25885,3,"Four-wheel Drive",4,0,0,10,40995
"Maserati","Levante S",2020,50180,3,"Four-wheel Drive",3.5,0,1,13,42995
"Porsche","911 GT3",2018,9687,4,"Rear-wheel Drive",4,0,0,7,185889
"FIAT","500X Pop",2020,25102,1.3,"Four-wheel Drive",3,0,1,6,21461
"Toyota","Tundra SR5",2019,54675,5.7,"Four-wheel Drive",2,0,1,6,49995
"Toyota","Sienna Limited",2020,62598,3.5,"Front-wheel Drive",3.5,1,1,12,34250
"Mitsubishi","Mirage DE",2015,91384,1.2,"Front-wheel Drive",3,0,0,1,10285
"Toyota","Highlander XSE",2023,9750,2.4,"Four-wheel Drive",3.5,0,1,8,53590
"Porsche","Boxster S",2013,22254,3.4,"Rear-wheel Drive",3.5,1,0,4,49900
"Nissan","Pathfinder Platinum",2015,69500,3.5,"Front-wheel Drive",2.5,0,0,9,19500
"BMW","430 i xDrive",2017,62783,2,"Four-wheel Drive",5,1,0,8,21698
"MINI","Clubman Cooper S ALL4",2019,62630,2,"Four-wheel Drive",4.5,1,1,7,23838
"Lexus","NX 450h+ Luxury",2022,14915,2.5,"Four-wheel Drive",2.5,0,1,9,60875
"Volkswagen","Atlas 3.6L SEL Premium",2019,22270,3.6,"Four-wheel Drive",4,0,1,12,37995
"Kia","Sorento S",2020,56520,3.3,"Front-wheel Drive",4.5,1,1,8,23959
"FIAT","124 Spider Lusso",2019,35270,1.4,"Rear-wheel Drive",4.5,0,1,8,25525
"Alfa","Romeo Giulia Ti",2020,37207,2,"Four-wheel Drive",3,0,1,10,29725
"Cadillac","CT5 Premium Luxury RWD",2020,20161,3,"Rear-wheel Drive",4,0,1,11,37000
"Porsche","Cayenne E-Hybrid Base",2019,31081,3,"Four-wheel Drive",1.5,0,0,9,69995
"Volvo","XC90 T6 Momentum",2017,85910,2,"Four-wheel Drive",3.5,0,0,12,27000
"Kia","Sorento Hybrid S",2022,23819,1.6,"Front-wheel Drive",4,0,1,9,38500
"Maserati","Levante Base",2017,156000,3,"Four-wheel Drive",5,0,0,9,25000
"Jeep","Gladiator Rubicon",2021,23372,3.6,"Four-wheel Drive",3,0,0,7,48986
"Mazda","MX-5 Miata Grand Touring",2016,75715,2,"Rear-wheel Drive",3.5,0,0,7,20670
"FIAT","124 Spider Lusso",2017,42572,1.4,"Rear-wheel Drive",13,0,0,8,22995
"Maserati","Quattroporte S Q4",2014,72576,3,"Four-wheel Drive",3,0,0,7,27975
"Kia","Soul +",2019,62055,2,"Front-wheel Drive",5.5,0,0,5,21500
"Lexus","RX 350 350",2020,23988,3.5,"Front-wheel Drive",5.5,0,1,12,42550
"Land","Rover Range Rover Sport Supercharged HSE",2015,39464,3,"Four-wheel Drive",2.5,0,0,7,36998
"Porsche","Cayenne S",2020,36211,2.9,"Four-wheel Drive",2,0,1,11,72998
"Land","Rover Discovery Sport R-Dynamic SE",2020,32566,2,"Four-wheel Drive",3,0,1,10,36000
"Mitsubishi","Lancer ES",2017,63987,2,"Front-wheel Drive",2.5,0,1,4,14997
"Land","Rover Range Rover Sport SE",2020,33331,3,"Four-wheel Drive",3,0,1,8,55880
"Cadillac","CT4 Sport",2022,2300,2,"Rear-wheel Drive",4,0,0,8,42993
"Volkswagen","Tiguan 2.0T SE R-Line Black",2023,2231,2,"Four-wheel Drive",3.5,0,1,8,36495
"Volkswagen","Golf R 2.0T w/DCC & Navigation",2018,86834,2,"Four-wheel Drive",3,1,1,7,31124
"Jeep","Grand Cherokee L Limited",2022,3343,3.6,"Four-wheel Drive",2.5,0,1,9,47490
"Audi","Q5 40 Premium Plus",2021,60808,2,"Four-wheel Drive",2.5,0,1,6,35871
"Kia","K900 Luxury",2019,37679,3.3,"Four-wheel Drive",4,0,0,10,36000
"Chevrolet","Camaro ZL1",2019,21768,6.2,"Rear-wheel Drive",3,0,0,11,69900
"Lexus","LC 500 Base",2021,5266,5,"Rear-wheel Drive",2,0,1,10,92981
"BMW","330 i xDrive",2017,51374,2,"Four-wheel Drive",5,1,0,9,23851
"Nissan","Maxima SV",2012,171071,3.5,"Front-wheel Drive",5,0,0,6,7995
"Kia","Sportage SX Turbo",2019,36868,2,"Front-wheel Drive",24,0,0,9,28587
"Volkswagen","Golf GTI 2.0T SE",2019,12925,2,"Front-wheel Drive",3,0,1,8,29556
"Honda","Civic EX",2019,21321,1.5,"Front-wheel Drive",4.5,1,0,11,18565
"Honda","Pilot EX-L",2020,43545,3.5,"Four-wheel Drive",4,1,1,13,31999
"Nissan","Altima 2.5 SV",2022,2906,2.5,"Four-wheel Drive",2.5,0,1,8,27744
"Honda","Pilot EX-L",2014,155406,3.5,"Front-wheel Drive",3.5,0,1,8,12999
"Cadillac","SRX Performance Collection",2016,66425,3.6,"Front-wheel Drive",4,0,0,10,20594
"BMW","540 i xDrive",2019,44491,3,"Four-wheel Drive",4,1,1,9,34344
"Volvo","V60 T5 Dynamic",2018,39478,2,"Four-wheel Drive",5.5,0,0,7,26450
"Maserati","Levante GT",2022,5161,3,"Four-wheel Drive",2.5,0,0,10,67998
"Honda","Odyssey EX-L",2019,66051,3.5,"Front-wheel Drive",4.5,1,0,13,29500
